dwarf,mdeg/keV,2sl,1sl,1su,2su
CVnI,0.21461317274532543,0.06575326474689126,0.11456072139977465,0.40311895194742264,0.673088855533657
LeoII,0.2723438084955459,0.13020950076191842,0.18200136529897362,0.4019788088320023,0.5771881307521823
Carina,0.10516213415346931,0.03719799783735965,0.05882935196373085,0.22020841854598097,0.421065980810437
LeoI,0.1627318817992427,0.07813206343534544,0.10927991726668666,0.25691196235639707,0.395970464470267
Fornax,0.05689451343650636,0.03619547277661851,0.043769720853317776,0.08231697103714863,0.12670593892556678
SegI,0.5677373262175057,0.028467862647328708,0.15479602603206094,1.1457519296929768,1.868380002871328
Draco,0.12001703352624307,0.06195213913091991,0.08797609439108929,0.16807936318525418,0.23492768379133208
Sculptor,0.10375441005426837,0.0588216950292902,0.07477421835325461,0.14690659526139352,0.19883553129818035
UMi,0.12253277236330598,0.06427414582065948,0.08423674577153525,0.1809180231802601,0.2607734064746049
Sextans,0.19810090137211253,0.08003899410734425,0.1221196559996171,0.33101561362436505,0.5539055674466047
