dwarf,FM/Msols^3km^-3kpc^-3,2sl,1sl,1su,2su
CVnI,2124.057664160324,19.736091379595074,181.50548553017617,24294.72794827366,169381.53697867872
LeoII,5577.322090437805,307.6032592986599,1165.4946072261555,24495.67446641807,94625.95417197772
And21,418.8819905943578,6.004596955163975,39.41459131295137,3861.7689694793394,24223.762683338537
Carina,125.19611866379002,1.969376046122314,12.306233180707185,2329.7181411092947,28283.942371752342
LeoI,715.0467506231407,39.34120891966728,149.4622104030398,4219.9432840391955,21924.089115151364
Fornax,10.737321041963629,1.7835766979383094,3.7900971843328617,46.24521516541678,252.21695302225726
SegI,105005.67472084358,0.6744906742319603,587.415942042963,1613210.8841968565,10540518.053104743
Draco,212.53457511025985,15.25908322958472,61.96624850615319,799.6423989212342,2934.9724967409725
Sculptor,118.64140536341075,12.416089689648341,32.32173583516873,466.0047408967293,1507.4352691103632
UMi,230.58790347095731,17.848044099761772,52.36801601200648,1050.7516743226781,4244.429715774076
Sextans,1562.53760779343,43.667378132152656,235.9800310310596,11172.168261446946,79183.63262741455
