dwarf,mFD/keV,2sl,1sl,1su,2su
CVnI,0.9050685348708273,0.19027413145516694,0.3986477195663672,2.0392167003098773,3.895663074674785
LeoII,1.2486324220930012,0.47528744617544344,0.7409623173148953,2.0448235256105516,3.208456259787894
And21,0.5268131358086844,0.12797367832842954,0.2396137347435941,1.104641771753251,2.0372292363863527
Carina,0.35222727870937115,0.08825424070131202,0.1625552794657574,0.9333843029215743,2.145224164369844
LeoI,0.6296088803196435,0.23946493745511033,0.37365416940871626,1.1377885800570342,1.9706063836333318
Fornax,0.15533095484768217,0.08538664749429337,0.10977652554633617,0.25272505548776325,0.4448539563381893
SegI,3.321724596787834,0.061747306172234985,0.589668518420121,8.257648901118262,15.437608320055155
Draco,0.420180502523575,0.17463669873552407,0.2786192382651169,0.653518626379525,1.0080777851893614
Sculptor,0.3459697490741542,0.1630375521236995,0.2242801947712556,0.5458703148341422,0.8073073809937186
UMi,0.431755825453255,0.18400215491158262,0.26341959195182396,0.7158017063292492,1.1399850288778761
Sextans,0.8170265923663524,0.24793912909933083,0.43509535853181247,1.5740016684859304,3.0234619420656768
