dwarf,rho/Msolkpc^-3,2sl,1sl,1su,2su
CVnI,790150009.515874,75038030.735892,186204579.763994,4214677821.510628,16168524111.877209
LeoII,2007078704.729811,425421881.122921,775143520.476704,5481075872.798832,14211536259.370945
And21,33807365.273976,2651595.257458,7455460.114681,136452607.238573,352959225.035479
Carina,525014532.493636,130286329.000865,236171353.890662,1543642501.770791,4717606797.109672
LeoI,790472709.941037,181845717.409777,328768561.957101,2403560033.152431,7218932056.72631
Fornax,74875212.370634,32745157.364749,45682898.515487,162064451.871693,472310460.793897
SegI,11002276882.059809,1492117717.491271,4047811076.079164,30372264056.72372,76783317945.47229
Draco,768333466.372957,324034586.967886,469752866.063128,1504742145.188258,3007199958.666914
Sculptor,342024843.782334,154990058.881692,215845420.978351,633089760.870137,1284089095.616154
UMi,351725977.944607,132883685.203705,195037148.905906,745227106.578895,1840466871.995194
Sextans,660102245.11771,116273332.396644,227048339.111498,2740323314.080256,12906166578.325556
