dwarf,vesc/kms^-1,2sl,1sl,1su,2su
CVnI,44.61540905688669,28.35122965819374,34.598285449630595,62.56584744110223,96.82270771599038
LeoII,44.12486157964213,32.974689551035645,37.66135439403515,54.14949546480959,69.116238378344
And21,26.80877744085669,15.151819042500078,20.356462686112017,35.610352391253485,47.24018476275004
Carina,100.03775805156098,34.14793104918048,54.08185494280187,166.0878347553482,250.89607211078277
LeoI,64.14378916851474,42.83718548163634,51.42250749610153,80.67830350234553,103.33693806706256
Fornax,118.51805248674039,76.46362679577835,94.2274526034619,142.2344830558249,163.6523430582697
SegI,29.24559065726463,12.025563512556374,16.503110391351587,118.04890566620837,808.3128994506388
Draco,95.20882013820476,62.539809475259226,76.58773409072339,121.86393804447138,171.78745239555127
Sculptor,88.28987876654548,58.80613350193253,68.70612393261207,116.82071267095196,143.9053027872038
UMi,71.41012149148676,46.954081521356784,55.32226862576569,96.1584682287103,121.13346528975366
Sextans,46.547608602539505,33.88632031697307,38.832192283895914,61.24229945335953,85.98277639841292
